"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ATP2C2",1.70481755837239,7.50441375707567e-16,4.00557333362201,6.18812684299798e-05,0.0100814154070446,1.53705529326178
"ALDH1A2",1.7045082633131,-6.89726054048379e-16,4.00484662592498,6.20717987165059e-05,0.0100814154070446,1.53434462814816
"LOC101928635",1.7045082633131,-6.89726054048379e-16,4.00484662592498,6.20717987165059e-05,0.0100814154070446,1.53434462814816
"VNN1",1.70183636750263,5.10008701937181e-16,3.99856884297039,6.37410054045521e-05,0.0100814154070446,1.51094858143215
"FABP5",-1.70146925000031,-4.46170878021235e-16,-3.99770627789978,6.39736466950068e-05,0.0100814154070446,1.50773684116569
"DNAI1",1.70146206199874,1.03042574473022e-16,3.99768938924957,6.39782097228649e-05,0.0100814154070446,1.50767396359959
"ASPM",-1.70136506212259,-6.49480469405717e-16,-3.9974614820959,6.40398165215484e-05,0.0100814154070446,1.50682547611305
"RRAD",1.70045974544193,7.70217223333702e-17,3.9953343850721,6.46175174820561e-05,0.0100814154070446,1.49890872772408
"CCNE1",-1.69868320564678,9.40220123979429e-17,-3.99116029594764,6.57655304488705e-05,0.0100814154070446,1.48338561734532
"RAD54L",-1.69818636769417,-4.49640324973188e-16,-3.98999294472914,6.60900285730996e-05,0.0100814154070446,1.47904723312828
"POLE2",-1.69805214239892,-6.45664077758568e-16,-3.98967757417191,6.61779543301256e-05,0.0100814154070446,1.47787539688462
"KIF11",-1.69766558150121,-8.46545056276682e-17,-3.98876932565226,6.64317942111034e-05,0.0100814154070446,1.47450109543376
"PPFIA4",-1.69683922693878,-1.04777297948999e-16,-3.98682775496445,6.69775234886152e-05,0.0100814154070446,1.46729039864941
"VNN2",1.69575306256188,-3.64291929955129e-17,3.98427574519502,6.77012875385115e-05,0.0100814154070446,1.45781796434692
