GSM1701025	GSM1701026	GSM1701027	GSM1701028	GSM1701029	GSM1701030	GSM1701031	GSM1701032	GSM1701033	GSM1701034	GSM1701035	GSM1701036	GSM1701037	GSM1701038	GSM1701039	GSM1701040	GSM1701041	GSM1701042	GSM1701043	GSM1701044
AUNIP	0.216203207895773	0.861084354175416	0.724661328184994	1.14608316471602	0.956958168284437	1.60613341238345	1.5724916954889	0.719563818515549	0.48679601284882	0.494682377446114	-1.14535824712716	-0.845390119242042	-1.47509878655991	-0.423755886474785	-0.0215328227748709	-1.03082126808708	-1.19264873085403	-0.636309111224095	-1.23663322099092	-0.777109346604584
AURKA	0.72044166287337	1.06403120035104	0.960202950457188	1.33519271461783	1.25282780204894	0.769073564098062	1.01188508576929	0.800284762189703	1.09937525082591	0.290899965695843	-0.785080848900465	-0.451561380015614	-0.811806914052303	-1.4572278547405	-0.871316551487323	-1.06913926842137	-1.41132397977708	-0.916447127668012	-0.859265978789862	-0.67104505507465
BABAM1	1.31495400143644	1.1478290829766	0.548826796865942	0.918861591710967	0.475194767607448	0.0351939228955822	0.70154816561369	1.92292335645679	0.648776808859405	0.672688992618599	-1.23734875871796	-0.994175597309668	-0.792650877910534	-1.88256113164897	-0.083335939196487	-0.780819762601107	-0.222903523933841	-1.03832357072222	-0.963556337618016	-0.391121987382668
BIRC3	-1.59275543557082	-0.29316936519993	-0.138753542477941	-1.9540210387225	-0.981014611136247	-0.532585435365933	-1.16055604911503	-0.443452557767714	-0.349789308615473	-0.315200358345942	1.56327891744041	-0.293969698504442	1.00728009503886	1.18388697756776	0.313003079637192	0.44770160003894	1.11648436181325	0.28314822212647	0.493165382240077	1.64731876491901
BIRC5	1.47704274093689	1.65408883780505	-0.0328294140652187	1.65678125879928	1.15511721148259	0.674791894978345	-0.245543616941073	0.50089127071402	1.3325839991311	-0.582730513473242	-0.637031984967443	-0.24762765434526	-0.980464521546322	-0.754171714713992	-0.749362895486317	-1.00276760507064	-0.0873379948666685	-1.28830014594188	-1.22973998931738	-0.613389163111863
BLM	1.68201317511801	1.67171274624209	1.01897501045334	0.437535693939656	1.40215096463768	0.693198527738959	0.597435484687352	0.228786229767517	-0.130888831753981	0.668194568201525	-0.800637747935238	-0.127891539574636	-1.1001017187743	-1.22235410509824	-0.676776195898496	-1.00758353185786	-0.204742464715856	-1.15435359137745	-0.40945133146628	-1.56522134233379
BOLA2	1.3504616477954	0.612354336324288	0.678089457663417	2.42011910141336	0.987120366764977	0.380813563747363	1.24456865459986	0.039771338578721	-0.810809817461301	0.712094600447709	-0.866636965543138	-0.858111215715566	-0.977569569827575	-0.543588109092371	-0.621004853222507	-0.461853445752574	-0.528518204088684	-0.961557795761159	-1.39600407499485	-0.399739015875369
BOLA2B	1.3504616477954	0.612354336324288	0.678089457663417	2.42011910141336	0.987120366764977	0.380813563747363	1.24456865459986	0.039771338578721	-0.810809817461301	0.712094600447709	-0.866636965543138	-0.858111215715566	-0.977569569827575	-0.543588109092371	-0.621004853222507	-0.461853445752574	-0.528518204088684	-0.961557795761159	-1.39600407499485	-0.399739015875369
BOP1	1.70841764570327	2.54242134831426	0.782635268291892	0.89255299776254	0.489679715061546	0.272714319608072	0.624509342179239	-0.462630158648959	0.579950497786648	0.384716488123958	-0.84318917290822	-0.766761853143137	-1.12577321636028	-0.64269654802502	-1.35082294075517	-0.772647700781516	-0.465272137621191	-0.62978443017032	-0.766761853143137	-0.451257611274481
BRD9	0.172921979365929	0.991936917579998	1.03937778983403	1.48644558862789	-0.015468221242826	-0.332751348084606	1.68557240769414	1.50126640247868	0.157173749967317	0.887977201651905	-0.955172025074564	-1.07377420570963	-0.827046000159929	-2.11786576341461	-0.859594718905643	-0.16137565579553	-0.432947897078262	-0.313132942265273	-0.566210377334687	-0.267332882134317
BST2	1.77755902355277	1.17952072174162	0.829994762459165	0.951246608228608	1.28154488434366	-0.248851694749374	0.632794933780977	1.08324574565483	0.455935754305805	0.173119477035262	-0.638191794851828	-0.150514658891084	-1.07286989787742	-1.49417875245068	-0.0195602073755893	-1.55942723979006	-1.28556248689184	-0.933011718077022	-0.712528366813306	-0.250265093334478
BUB1	0.535877708730376	1.72680759583302	0.862868720671859	1.65415759053011	0.736475729059269	0.604315953201405	0.79799383243597	0.137751548242958	1.46461687690833	0.0315968133797036	-1.16712540507128	-0.186852416687546	-0.605159452986534	-0.794786238014966	-0.866116481749297	-1.22425386670904	-0.493576481410813	-1.13367231835491	-0.722004256555208	-1.35891545145341
BUB1B	1.35112607429737	1.64725347057863	1.05526594978079	1.19679849789021	0.606992886589409	0.393826646061768	0.418736374529024	0.900384391897764	0.924205595359819	-0.16306080280493	-1.37567279911334	-0.232706965191338	-1.12938915719976	-1.58074799440142	-0.556110659928834	-1.41158440531175	-0.0427642112702164	-0.947522870058304	-0.67895848194449	-0.376071539760399
